Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
102.027	64	0	29	LastDelay	0.027242	27242	1	6
102.027	64	0	29	FullDelay	0.027242	27242	1	6
104.025	64	0	3	LastDelay	0.0248111	24811.1	1	5
104.025	64	0	3	FullDelay	31.0248	3.10248e+07	2	5
106.016	64	0	5	LastDelay	0.0156715	15671.5	1	4
106.016	64	0	5	FullDelay	30.0157	3.00157e+07	2	4
107.02	64	0	6	LastDelay	0.0198868	19886.8	1	7
107.02	64	0	6	FullDelay	30.0199	3.00199e+07	2	7
108.028	64	0	7	LastDelay	0.0280327	28032.7	1	4
108.028	64	0	7	FullDelay	30.028	3.0028e+07	2	4
110.025	64	0	9	LastDelay	0.0249151	24915.1	1	5
110.025	64	0	9	FullDelay	29.0249	2.90249e+07	2	5
111.016	64	0	10	LastDelay	0.0158804	15880.4	1	4
111.016	64	0	10	FullDelay	29.0159	2.90159e+07	2	4
114.038	64	0	13	LastDelay	0.037895	37895	1	2
114.038	64	0	13	FullDelay	29.0379	2.90379e+07	2	2
115.02	64	0	14	LastDelay	0.0198328	19832.8	1	6
115.02	64	0	14	FullDelay	29.0198	2.90198e+07	2	6
116.019	64	0	15	LastDelay	0.0192867	19286.7	1	6
116.019	64	0	15	FullDelay	29.0193	2.90193e+07	2	6
117.013	64	0	16	LastDelay	0.0126344	12634.4	1	4
117.013	64	0	16	FullDelay	29.0126	2.90126e+07	2	4
118.013	64	0	4	LastDelay	0.0134468	13446.8	1	4
118.013	64	0	4	FullDelay	44.0134	4.40134e+07	3	4
119.045	64	0	17	LastDelay	0.0452878	45287.8	1	7
119.045	64	0	17	FullDelay	29.0453	2.90453e+07	2	7
120.019	64	0	18	LastDelay	0.018502	18502	1	1
120.019	64	0	18	FullDelay	29.0185	2.90185e+07	2	1
121.021	64	0	19	LastDelay	0.0207435	20743.5	1	6
121.021	64	0	19	FullDelay	29.0207	2.90207e+07	2	6
122.014	64	0	8	LastDelay	0.0143612	14361.2	1	3
122.014	64	0	8	FullDelay	43.0144	4.30144e+07	3	3
123.041	64	0	20	LastDelay	0.0407466	40746.6	1	8
123.041	64	0	20	FullDelay	30.0407	3.00407e+07	2	8
124.073	64	0	21	LastDelay	0.0733789	73378.9	1	13
124.073	64	0	21	FullDelay	30.0734	3.00734e+07	2	13
125.067	64	0	11	LastDelay	0.0674156	67415.6	1	14
125.067	64	0	11	FullDelay	42.0674	4.20674e+07	3	14
126.03	124	0	0	LastDelay	0.0296982	29698.2	1	9
126.03	124	0	0	FullDelay	0.0296982	29698.2	1	9
127.036	64	0	22	LastDelay	0.0362957	36295.7	1	7
127.036	64	0	22	FullDelay	32.0363	3.20363e+07	2	7
128.051	124	0	1	LastDelay	0.0509716	50971.6	1	16
128.051	124	0	1	FullDelay	1.05097	1.05097e+06	2	16
129.03	124	0	2	LastDelay	0.0301456	30145.6	1	1
129.03	124	0	2	FullDelay	0.0301456	30145.6	1	1
130.023	124	0	3	LastDelay	0.0225858	22585.8	1	6
130.023	124	0	3	FullDelay	0.0225858	22585.8	1	6
130.053	64	0	25	LastDelay	0.0531415	53141.5	1	5
130.053	64	0	25	FullDelay	32.0531	3.20531e+07	2	5
131.03	64	0	26	LastDelay	0.0297404	29740.4	1	4
131.03	64	0	26	FullDelay	32.0297	3.20297e+07	2	4
131.036	124	0	4	LastDelay	0.0358919	35891.9	1	6
131.036	124	0	4	FullDelay	0.0358919	35891.9	1	6
132.044	124	0	5	LastDelay	0.0441741	44174.1	1	7
132.044	124	0	5	FullDelay	0.0441741	44174.1	1	7
132.055	64	0	27	LastDelay	0.0552431	55243.1	1	7
132.055	64	0	27	FullDelay	32.0552	3.20552e+07	2	7
133.039	64	0	28	LastDelay	0.0388269	38826.9	1	6
133.039	64	0	28	FullDelay	32.0388	3.20388e+07	2	6
134.014	124	0	6	LastDelay	0.0141967	14196.7	1	4
134.014	124	0	6	FullDelay	1.0142	1.0142e+06	2	4
134.024	64	0	30	LastDelay	0.0235573	23557.3	1	4
134.024	64	0	30	FullDelay	0.0235573	23557.3	1	4
136.048	124	0	7	LastDelay	0.04767	47670	1	6
136.048	124	0	7	FullDelay	1.04767	1.04767e+06	2	6
136.067	64	0	24	LastDelay	0.0672831	67283.1	1	4
136.067	64	0	24	FullDelay	39.0673	3.90673e+07	3	4
137.032	124	0	8	LastDelay	0.0321552	32155.2	1	6
137.032	124	0	8	FullDelay	0.0321552	32155.2	1	6
138.024	124	0	9	LastDelay	0.02395	23950	1	6
138.024	124	0	9	FullDelay	0.02395	23950	1	6
140.006	64	0	31	LastDelay	0.00582807	5828.07	1	1
140.006	64	0	31	FullDelay	3.00583	3.00583e+06	3	1
141.017	124	0	10	LastDelay	0.01695	16950	1	2
141.017	124	0	10	FullDelay	2.01695	2.01695e+06	3	2
142.039	64	0	34	LastDelay	0.0388512	38851.2	1	8
142.039	64	0	34	FullDelay	0.0388512	38851.2	1	8
142.132	124	0	11	LastDelay	0.132057	132057	1	14
142.132	124	0	11	FullDelay	0.132057	132057	1	14
143.019	124	0	12	LastDelay	0.0190224	19022.4	1	7
143.019	124	0	12	FullDelay	0.0190224	19022.4	1	7
144.027	124	0	13	LastDelay	0.0274745	27474.5	1	2
144.027	124	0	13	FullDelay	0.0274745	27474.5	1	2
145.03	124	0	14	LastDelay	0.0302714	30271.4	1	7
145.03	124	0	14	FullDelay	0.0302714	30271.4	1	7
146.022	124	0	15	LastDelay	0.0221447	22144.7	1	5
146.022	124	0	15	FullDelay	0.0221447	22144.7	1	5
146.023	64	0	35	LastDelay	0.0227011	22701.1	1	10
146.023	64	0	35	FullDelay	0.0227011	22701.1	1	10
147.008	64	0	33	LastDelay	0.00802498	8024.98	1	2
147.008	64	0	33	FullDelay	6.00802	6.00802e+06	3	2
147.033	124	0	16	LastDelay	0.032812	32812	1	6
147.033	124	0	16	FullDelay	0.032812	32812	1	6
149.017	124	0	17	LastDelay	0.017253	17253	1	1
149.017	124	0	17	FullDelay	1.01725	1.01725e+06	2	1
150.028	64	0	36	LastDelay	0.0282104	28210.4	1	8
150.028	64	0	36	FullDelay	2.02821	2.02821e+06	3	8
150.036	124	0	18	LastDelay	0.0357751	35775.1	1	7
150.036	124	0	18	FullDelay	0.0357751	35775.1	1	7
151.028	124	0	19	LastDelay	0.0282757	28275.7	1	7
151.028	124	0	19	FullDelay	0.0282757	28275.7	1	7
151.067	64	0	37	LastDelay	0.0674077	67407.7	1	6
151.067	64	0	37	FullDelay	0.0674077	67407.7	1	6
152.052	64	0	38	LastDelay	0.0517273	51727.3	1	9
152.052	64	0	38	FullDelay	0.0517273	51727.3	1	9
153.045	64	0	39	LastDelay	0.0445776	44577.6	1	10
153.045	64	0	39	FullDelay	0.0445776	44577.6	1	10
154.01	64	0	40	LastDelay	0.00955721	9557.21	1	2
154.01	64	0	40	FullDelay	0.00955721	9557.21	1	2
